nama_dosen,degree,constraint,effective_size,degree_centrality,betweenness,closeness,neighbor_topic_diversity,thematic_cluster,broker_typology,n_community_memberships,n_papers_total,inv_constraint,composite_score,rank
"Prof. Dr. Lilik Anifah, S.T., M.T.",25,0.16726241555045915,22.377373171490824,0.2717391304347826,0.12710154540906643,0.4339622641509434,0.9895875212220555,0,Semantic Broker,1,180,0.8327375844495408,0.33254198658546075,14
"Dr.  Wiyli Yustanti, S.Si., M.Kom.",24,0.23514531943708328,21.45504535147392,0.2608695652173913,0.1731133594253613,0.467005076142132,1.3250112108241772,1,Semantic Broker,1,23,0.7648546805629167,0.29350616833723653,15
"Dr. Bachtiar Syaiful Bachri, M.Pd",5,0.43423611111111127,4.409999999999999,0.05434782608695652,0.12470138557095078,0.2658959537572254,0.0,0,Local Specialist,1,191,0.5657638888888887,0.2689192339058065,16
"Drs. Bambang Sujatmiko, M.T.",4,0.34653576979626133,3.3200000000000003,0.043478260869565216,0.14214046822742474,0.3445692883895131,0.8112781244591328,0,Semantic Broker,1,132,0.6534642302037387,0.2565370393212846,17
"Dr. Yuni Yamasari, S.Kom., M.Kom.",22,0.2824983738969705,19.561023500309215,0.2391304347826087,0.09921029296411042,0.44878048780487806,0.9940302114769566,1,Semantic Broker,1,37,0.7175016261030295,0.2129346729808777,18
"Dr. Tri Rijanto, M.Pd., M.T.",11,0.2492336899362439,9.146918767507001,0.11956521739130435,0.008859164946934672,0.33948339483394835,0.43949698692151334,0,Structural Broker (Within-Topic),1,252,0.750766310063756,0.19883580271544476,19
"Dr. Yeni Anistyasari, S.Pd., M.Kom.",15,0.263572553827959,13.348172198172197,0.16304347826086957,0.033634965168215625,0.40707964601769914,0.9967916319816367,0,Semantic Broker,1,173,0.736427446172041,0.19462939869636894,20
"Prof. Dr. Mustaji, M.Pd.",3,0.38708333333333333,2.8541666666666665,0.03260869565217391,0.021739130434782608,0.21247113163972287,0.0,0,Local Specialist,1,255,0.6129166666666667,0.18666590664880237,21
"Pradini Puspitaningayu, S.T., M.T., Ph.D.",15,0.1846055276835546,13.18056758056758,0.16304347826086957,0.08257620177748422,0.42790697674418604,0.9182958340544894,1,Semantic Broker,1,46,0.8153944723164455,0.1828177504654216,22
"Naim Rochmawati, S.Kom., M.T.",15,0.3368434024868087,12.615079365079364,0.16304347826086957,0.04411235060791924,0.42592592592592593,0.9182958340544894,1,Semantic Broker,1,70,0.6631565975131912,0.14840402614965975,23
"Agus Prihanto, S.T., M.Kom.",11,0.3821295062645462,8.318357487922706,0.11956521739130435,0.04301538739517485,0.40350877192982454,1.3221793455166666,1,Thematic Bridge (Embedded),1,87,0.6178704937354538,0.14320747018017338,24
"Dr. Widi Aribowo, S.T., M.T.",10,0.30959130805941104,8.659797979797979,0.10869565217391304,0.01194472511320116,0.35797665369649806,0.9709505944546688,1,Semantic Broker,1,144,0.690408691940589,0.1394330701377898,25
"Dr. Elly Matul Imah, M.Kom.",10,0.33727612731671974,8.91005291005291,0.10869565217391304,0.058294835619717454,0.38016528925619836,0.7219280948873623,1,Structural Broker (Within-Topic),1,39,0.6627238726832803,0.1328695456671292,26
"Prof. Dr. Nurhayati, S.T., M.T.",12,0.2475287042933084,9.674430641821948,0.13043478260869565,0.011345470170246359,0.3724696356275304,0.9798687566511527,0,Semantic Broker,1,105,0.7524712957066916,0.12582313300571152,27
"Aditya Prapanca, S.T., M.Kom.",11,0.3331847652594062,8.816496598639455,0.11956521739130435,0.02357199737718268,0.37398373983739835,0.6840384356390417,1,Structural Broker (Within-Topic),1,89,0.6668152347405938,0.1247537784919526,28
"Anita Qoiriah, S.Kom., M.Kom.",11,0.4055523312901013,8.616071428571427,0.11956521739130435,0.01043485676736592,0.40350877192982454,1.3221793455166666,1,Thematic Bridge (Embedded),1,112,0.5944476687098987,0.1202155261473297,29
"Prof.Dr.Yatim Riyanto,M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.21052631578947367,0.0,0,Local Specialist,1,219,0.0,0.11666363759848691,30
"Achmad Kautsar, S.E., M.M.",12,0.31752687796493556,7.776136363636366,0.13043478260869565,0.010301913407503476,0.2866043613707165,0.0,2,Structural Broker (Within-Topic),1,94,0.6824731220350644,0.11637096801608483,31
"Dr. Ir. Nur Kholis, S.T., M.T.",4,0.2706814435642998,3.8125,0.043478260869565216,0.02209177985575501,0.3262411347517731,0.8112781244591328,0,Semantic Broker,1,110,0.7293185564357002,0.11637093661681114,32
"Dodik Arwin Dermawan, S.ST., S.T., M.T.",6,0.5070195893912915,4.407843137254901,0.06521739130434782,0.005159164979684724,0.3274021352313167,0.9182958340544894,0,Thematic Bridge (Embedded),1,140,0.49298041060870845,0.11151559026524022,33
"Dr. Farid Baskoro, S.T., M.T.",10,0.3061826839749079,8.581609195402299,0.10869565217391304,0.01571283409716655,0.36507936507936506,0.8812908992306927,0,Semantic Broker,1,73,0.6938173160250921,0.10566811258290468,34
"Arif Widodo, S.T., M.Sc.",11,0.26206820934957803,9.137441643323996,0.11956521739130435,0.027481616830352978,0.3607843137254902,0.9456603046006401,1,Semantic Broker,1,40,0.7379317906504219,0.10526374335216918,35
"Dr. Atik Wintarti, M.Kom.",7,0.4295323022025784,5.626495726495726,0.07608695652173914,0.028372008750528126,0.3458646616541353,0.5916727785823274,0,Local Specialist,1,68,0.5704676977974217,0.10388742810290631,36
"Prof. Dr. Bambang Suprianto, M.T.",17,0.29031514882368736,14.485025915127954,0.18478260869565216,0.01121186468531228,0.3445692883895131,0.9774178175281716,0,Semantic Broker,1,29,0.7096848511763126,0.09793137892836958,37
"Anggraeni Widya Purwita, M.Kom.",10,0.21861712888601942,7.833333333333333,0.10869565217391304,0.03527119440087575,0.3420074349442379,1.3609640474436813,2,Semantic Broker,1,12,0.7813828711139805,0.09740569184801617,38
"Hafid Kholidi Hadi, S.E., M.SM.",12,0.34415523503679535,7.46061776061776,0.13043478260869565,0.010301913407503476,0.2866043613707165,0.0,2,Structural Broker (Within-Topic),1,53,0.6558447649632047,0.09350670325874605,39
"Ika Diyah Candra Arifah, S.E., M.Com.",11,0.3564850059932348,6.376700680272109,0.11956521739130435,0.006291948217414059,0.2857142857142857,0.0,2,Structural Broker (Within-Topic),1,55,0.6435149940067653,0.08689131624500868,40
"Prof. Dr. Ekohariadi, M.Pd.",10,0.3000233738992747,8.783410138248847,0.10869565217391304,0.0044512299212881344,0.3552123552123552,0.46899559358928117,0,Structural Broker (Within-Topic),1,53,0.6999766261007253,0.0828875948845089,41
"Prof. Dr. Puput Wanarti Rusimamto, S.T., M.T.",13,0.2735438504834771,11.002554563492064,0.14130434782608695,0.011222393651624708,0.3709677419354839,0.961236604722876,0,Semantic Broker,1,18,0.7264561495165229,0.08111062908943392,42
"Parama Diptya Widayaka, S.ST., M.T.",12,0.22200557703952425,9.828949357520788,0.13043478260869565,0.013425685950798395,0.36947791164658633,1.0,1,Semantic Broker,1,12,0.7779944229604757,0.0792093073818577,43
"Anita Safitri, M. Kom.",13,0.31789260909749667,8.688593576965669,0.14130434782608695,0.011062384820148803,0.2875,0.3912435636292556,2,Structural Broker (Within-Topic),1,16,0.6821073909025033,0.0783282952363895,44
"Unit Three Kartini, S.T., M.T., Ph.D.",13,0.34021217170171947,10.361011904761904,0.14130434782608695,0.004972158119700869,0.3471698113207547,0.961236604722876,1,Semantic Broker,1,25,0.6597878282982805,0.07572398059321922,45
"Riza Akhsani Setyo Prayoga, S.Kom., M.MT.",4,0.3770857445987654,2.75,0.043478260869565216,0.021739130434782608,0.2746268656716418,1.5,0,Thematic Bridge (Embedded),1,40,0.6229142554012346,0.07483690711684596,46
"Reza Rahmadian, S.ST., M.EngSc.",8,0.5188146031551603,6.137714285714286,0.08695652173913043,0.024044445396519596,0.33212996389891697,1.0,1,Thematic Bridge (Embedded),1,19,0.48118539684483974,0.07272859235458885,47
"Prof. Dr. Siti Masitoh, M.Pd.",2,0.6617361111111111,1.75,0.021739130434782608,0.0,0.21149425287356322,0.0,0,Local Specialist,1,105,0.3382638888888889,0.07026443204981539,48
"Prof.Dr. Rusijono, M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.17590822179732313,0.0,0,Local Specialist,1,128,0.0,0.06796495690616029,49
"Fresha Kharisma,  S.E., M.SM.",11,0.3328617047235749,6.630396825396826,0.11956521739130435,0.010060746706709445,0.2857142857142857,0.0,2,Structural Broker (Within-Topic),1,9,0.6671382952764251,0.0672066334026153,50
"Farhanna Mari, S.Kom., M.Kom.",7,0.3233740689562862,4.5,0.07608695652173914,0.008754703883886036,0.30564784053156147,1.3787834934861756,1,Semantic Broker,1,32,0.6766259310437138,0.0668915790207592,51
"Hujjatullah Fazlurrahman, S.E., MBA.",11,0.3518077259650465,6.780952380952382,0.11956521739130435,0.00732373216845266,0.2857142857142857,0.43949698692151334,2,Structural Broker (Within-Topic),1,15,0.6481922740349535,0.06677354531854364,52
"Dr. Dhiyan Septa Wihara, S.P., M.M.",7,0.4010782455423766,3.7387445887445887,0.07608695652173914,2.9861442904921164e-05,0.2271604938271605,0.0,2,Local Specialist,1,54,0.5989217544576234,0.06644880434402628,53
"Miftahur Rohman, S.T., M.T.",10,0.38336385830510644,8.154100529100528,0.10869565217391304,0.008315591785137777,0.3881856540084388,1.0,1,Thematic Bridge (Embedded),1,17,0.6166361416948936,0.06495069841668913,54
"Salamun Rohman Nudin, S.Kom., M.Kom.",5,0.6365668093067327,2.826666666666666,0.05434782608695652,5.972288580984233e-05,0.2996742671009772,0.7219280948873623,0,Local Specialist,1,76,0.3634331906932673,0.0643277445189862,55
"Dr. Subuh Isnur Haryudo, S.T., M.T.",10,0.2661111287932716,8.295378151260504,0.10869565217391304,0.0024368286893842734,0.336996336996337,1.0,0,Semantic Broker,1,19,0.7338888712067284,0.06366955010429393,56
"Ibnu Febry Kurniawan, S.Kom., M.Sc., Ph.D.",6,0.21487730843791447,5.691666666666666,0.06521739130434782,0.01119479642437495,0.3471698113207547,1.2516291673878228,1,Semantic Broker,1,19,0.7851226915620855,0.0634771789990767,57
"Prof. Dr. Joko, M.Pd., M.T.",5,0.2723531672661988,4.371428571428571,0.05434782608695652,0.0006615509683816724,0.3016393442622951,0.9709505944546688,0,Semantic Broker,1,43,0.7276468327338013,0.05995048633167211,58
"Riska Dhenabayu, S.Kom., M.M.",8,0.37362671277588405,4.592717086834734,0.08695652173913043,0.00017319636884854277,0.28307692307692306,0.5435644431995964,2,Local Specialist,1,33,0.6263732872241159,0.05920046738327451,59
"Muhammad Fajar Wahyudi Rahman, S.E., M.M.",9,0.42426478321112254,4.637333333333333,0.09782608695652173,0.005945271085022642,0.2839506172839506,0.0,2,Local Specialist,1,18,0.5757352167888774,0.0585992357602673,60
"Sayyidul Aulia Alamsyah, S.T., M.T.",9,0.28908417252715557,6.719217687074831,0.09782608695652173,0.002569218776128247,0.3511450381679389,0.9910760598382222,1,Semantic Broker,1,13,0.7109158274728444,0.05692500874917982,61
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",8,0.48446816951411914,5.423671497584541,0.08695652173913043,0.0069462114794558594,0.38493723849372385,1.061278124459133,1,Thematic Bridge (Embedded),1,21,0.5155318304858809,0.05632836186638523,62
"Renny Sari Dewi, S. Kom., M. Kom.",8,0.3707286917840158,4.32155388471178,0.08695652173913043,0.00023718517507337382,0.28307692307692306,0.5435644431995964,2,Local Specialist,1,26,0.6292713082159842,0.05562471610706365,63
"Dr. Fajar Arianto, S.Pd., M.Pd.",4,0.568142361111111,3.23125,0.043478260869565216,0.021978021978021976,0.21296296296296297,0.0,0,Local Specialist,1,13,0.43185763888888895,0.0540253914975812,64
"Achmad Fitro, S.Kom., M.Kom.",5,0.4656965836964795,2.5583333333333336,0.05434782608695652,2.9861442904921164e-05,0.2804878048780488,0.0,1,Local Specialist,1,42,0.5343034163035205,0.05202344398385191,65
"Dr.  Ratih Amelia, S.E., M.M.",9,0.3673196885607263,5.283458646616541,0.09782608695652173,9.811616954474097e-05,0.228287841191067,0.0,2,Structural Broker (Within-Topic),1,10,0.6326803114392737,0.04991045188156234,66
"Ersha Aisyah Elfaiz, S.Si., M.T.I.",6,0.3561569131253324,3.7500000000000004,0.06521739130434782,0.0063484263304684685,0.3026315789473684,1.459147917027245,2,Semantic Broker,1,8,0.6438430868746676,0.047403536343283294,67
"Bonda Sisephaputra, M. Kom.",4,0.45390624999999996,2.625,0.043478260869565216,0.0009613574830966133,0.2804878048780488,0.8112781244591328,2,Thematic Bridge (Embedded),1,36,0.54609375,0.04735616529818593,68
"Riskyana Dewi Intan P, M.Kom.",6,0.5589639671832989,4.428571428571429,0.06521739130434782,0.006581325648735226,0.31724137931034485,0.6500224216483541,1,Local Specialist,1,17,0.4410360328167011,0.04544355120626579,69
"Berlian Maulidya Izzati, S.Kom. M.Kom.",4,0.4308333333333334,2.8,0.043478260869565216,0.0012701067048893134,0.27710843373493976,0.8112781244591328,2,Thematic Bridge (Embedded),1,30,0.5691666666666666,0.04528208306149225,70
"Nadia Nur Thahirrah, S.E., M.SM.",8,0.40535991937840304,4.153650793650794,0.08695652173913043,6.82547266398198e-05,0.22772277227722773,0.0,2,Local Specialist,1,5,0.594640080621597,0.043001657472262235,71
"Mohammad Wildan Habibi, S.Pd., M.Pd.",6,0.3582972053233999,3.814814814814815,0.06521739130434782,0.00026505585511796693,0.32167832167832167,0.9182958340544894,0,Semantic Broker,1,5,0.6417027946766001,0.03908443693995251,72
"Prof. Dr. Tri Wrahatnolo, M.Pd.  M.T.",5,0.43304441208395617,4.0062358276643995,0.05434782608695652,0.0007445634647480239,0.3552123552123552,0.7219280948873623,0,Local Specialist,1,14,0.5669555879160438,0.03895119065071981,73
"Harun Al Rosyid, S.T., M.T.",5,0.4277253876714085,2.7444444444444445,0.05434782608695652,0.0,0.31833910034602075,0.7219280948873623,0,Local Specialist,1,15,0.5722746123285916,0.0388583747913118,74
"Dr.  Endryansyah, S.T., M.T.",6,0.48373338382589093,4.294021164021164,0.06521739130434782,0.00021267906542416843,0.32280701754385965,0.0,0,Local Specialist,1,10,0.5162666161741091,0.03735464265067492,75
"Ramadhan Cakra Wibawa, S.Pd., M.Kom.",5,0.4277253876714085,2.7444444444444445,0.05434782608695652,0.0,0.31833910034602075,0.7219280948873623,0,Local Specialist,1,4,0.5722746123285916,0.03297172108125034,76
"Ari Kurniawan, S.Kom., M.T.",4,0.46473331584305677,3.1166666666666663,0.043478260869565216,0.0008380609768991209,0.33212996389891697,1.0,0,Thematic Bridge (Embedded),1,10,0.5352666841569432,0.032932357458615634,77
"Moch Deny Pratama, S.Tr.Kom., M.Kom.",4,0.45727188444822375,1.875,0.043478260869565216,0.0,0.2987012987012987,0.8112781244591328,1,Thematic Bridge (Embedded),1,9,0.5427281155517762,0.03174146564808541,78
"Fadhilah Qalbi Annisa, S.T., M.Sc.",4,0.5768545513443472,2.880952380952381,0.043478260869565216,0.0024510704719242966,0.31833910034602075,0.0,1,Local Specialist,1,9,0.42314544865565284,0.030270857757646534,79
"Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",3,0.46024410969622015,2.4444444444444446,0.03260869565217391,0.0,0.33454545454545453,0.9182958340544894,1,Thematic Bridge (Embedded),1,8,0.5397558903037798,0.02822153418606638,80
"Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",5,0.6964533905111632,2.822222222222222,0.05434782608695652,5.972288580984233e-05,0.2996742671009772,0.7219280948873623,0,Local Specialist,1,9,0.3035466094888368,0.026396638518642095,81
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",4,0.6015732531892998,2.1,0.043478260869565216,0.0,0.2987012987012987,0.0,1,Local Specialist,1,8,0.3984267468107002,0.026203951583635265,82
"Ulfa Siti Nuraini, S.Stat., M.Stat.",2,0.6056588613406796,1.4166666666666665,0.021739130434782608,0.0,0.30666666666666664,0.0,1,Local Specialist,1,18,0.3943411386593204,0.025650331496397862,83
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",4,0.7381423197894803,2.0787878787878786,0.043478260869565216,0.0,0.2987012987012987,0.0,0,Local Specialist,1,12,0.2618576802105197,0.0236102378602402,84
"Harmon Prayogi, M.Sc.",3,0.7753212396069538,1.5555555555555556,0.03260869565217391,0.0,0.27794561933534745,0.0,1,Local Specialist,1,15,0.22467876039304624,0.021045095515380953,85
"Ibrohim, S.T., M.T.",2,0.5979555562870038,1.7333333333333334,0.021739130434782608,0.0,0.2857142857142857,1.0,1,Thematic Bridge (Embedded),1,1,0.4020444437129962,0.016819955129982626,86
"Ike Fitriyaningsih, M.Si",3,0.7753212396069538,1.5555555555555556,0.03260869565217391,0.0,0.27794561933534745,0.0,1,Local Specialist,1,6,0.22467876039304624,0.016228742479876122,87
"Dr. H. Andi Mariono, M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.17557251908396945,0.0,0,Local Specialist,1,8,0.0,0.0037469164327625336,88
"Rosita, S.Pd., M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.25770308123249297,0.0,0,Local Specialist,1,7,0.0,0.003211766095484219,89
"Hesti Khuzaimah Nurul Yusufiyah, S.Si., M.Eng.",1,1.0,1.0,0.010869565217391304,0.0,0.24664879356568364,0.0,1,Local Specialist,1,4,0.0,0.001606315083649275,90
"Andi Iwan Nurhidayat, S.Kom., M.T.",1,1.0,1.0,0.010869565217391304,0.0,0.2958199356913183,0.0,0,Local Specialist,1,3,0.0,0.0010711647463709606,91
"Ir. Rizky Basatha,  S.Pd.,  M.MT.",1,1.0,1.0,0.010869565217391304,0.0,0.215962441314554,0.0,0,Local Specialist,1,2,0.0,0.000536014409092646,92
"Aditya Chandra Hermawan, S.ST., M.T.",1,1.0,1.0,0.010869565217391304,0.0,0.25,0.0,1,Local Specialist,1,2,0.0,0.000536014409092646,93
